CALCULADORA DE MOVIMIENTO DE PROYECTIL
=====================================

PARÁMETROS DE ENTRADA:
- Velocidad inicial: 20.00 m/s
- Ángulo de lanzamiento: 50.00°

RESULTADOS PRINCIPALES:
- Tiempo total de vuelo: 3.12 s
- Tiempo de subida: 1.56 s
- Altura máxima: 11.96 m
- Distancia máxima: 40.16 m

EVOLUCIÓN DEL PROYECTIL:
========================
Tiempo(s) | Altura(m) | Pos.Horiz(m) | Vel.Horiz(m/s) | Vel.Vert(m/s)
----------------------------------------------------------------------
0.0       | 0.00      | 0.00         | 12.86          | 15.32
0.1       | 1.48      | 1.29         | 12.86          | 14.34
0.2       | 2.87      | 2.57         | 12.86          | 13.36
0.3       | 4.15      | 3.86         | 12.86          | 12.38
0.4       | 5.34      | 5.14         | 12.86          | 11.40
0.5       | 6.43      | 6.43         | 12.86          | 10.42
0.6       | 7.43      | 7.71         | 12.86          | 9.43
0.7       | 8.32      | 9.00         | 12.86          | 8.45
0.8       | 9.12      | 10.28        | 12.86          | 7.47
0.9       | 9.82      | 11.57        | 12.86          | 6.49
1.0       | 10.42     | 12.86        | 12.86          | 5.51
1.1       | 10.92     | 14.14        | 12.86          | 4.53
1.2       | 11.32     | 15.43        | 12.86          | 3.55
1.3       | 11.63     | 16.71        | 12.86          | 2.57
1.4       | 11.84     | 18.00        | 12.86          | 1.59
1.5       | 11.95     | 19.28        | 12.86          | 0.61
1.6       | 11.96     | 20.57        | 12.86          | -0.38
1.7       | 11.87     | 21.85        | 12.86          | -1.36
1.8       | 11.69     | 23.14        | 12.86          | -2.34
1.9       | 11.40     | 24.43        | 12.86          | -3.32
2.0       | 11.02     | 25.71        | 12.86          | -4.30
2.1       | 10.54     | 27.00        | 12.86          | -5.28
2.2       | 9.97      | 28.28        | 12.86          | -6.26
2.3       | 9.29      | 29.57        | 12.86          | -7.24
2.4       | 8.52      | 30.85        | 12.86          | -8.22
2.5       | 7.65      | 32.14        | 12.86          | -9.20
2.6       | 6.68      | 33.42        | 12.86          | -10.19
2.7       | 5.61      | 34.71        | 12.86          | -11.17
2.8       | 4.44      | 36.00        | 12.86          | -12.15
2.9       | 3.18      | 37.28        | 12.86          | -13.13
3.0       | 1.82      | 38.57        | 12.86          | -14.11
3.1       | 0.36      | 39.85        | 12.86          | -15.09
3.2       | 0.00      | 41.14        | 12.86          | -16.07

Generado el: 25/05/2025 00:28:03
